Horizon,MAE,RMSE,MAPE,Samples
1,1527.1550864361702,2040.7888017539244,6.021915657768436,47
2,1093.3771229619565,1624.5470802461364,4.43246211105487,46
3,1358.5207465277779,1623.8488274835147,5.556180934613638,45
4,1685.1404030539773,1913.3222348934073,6.939547159030256,44
5,1939.401480741279,2282.3260424987598,8.155140432540522,43
6,2108.1903366815477,2627.9160419967484,9.106673341600553,42
7,2372.418397484756,3029.6722680118246,10.459007073127562,41
8,2763.067529296875,3430.5068782310295,12.294654202418565,40
9,3211.3368389423076,3847.6784470884727,14.322387229973932,39
10,3590.7849506578946,4199.997404373318,16.01730960856305,38
11,3812.0290857263512,4396.917991834931,16.993264039056594,37
12,3954.5505099826387,4508.102610521807,17.604386889421512,36
13,3956.588671875,4543.497310746707,17.551132999880814,35
14,3952.658088235294,4565.226687285011,17.40523767461896,34
15,3988.3001302083335,4493.785330407875,17.419401391728062,33
16,3933.648193359375,4335.187203132476,17.050655087099216,32
17,3770.0499621975805,4203.666535425849,16.257767868354662,31
18,3484.7205729166667,4040.800527967032,14.984369632092706,30
19,3240.5414870689656,3838.05576892109,13.868600831618593,29
20,2910.835379464286,3469.733029280247,12.37759338143697,28
21,2435.473090277778,3003.667678564535,10.28144394688716,27
22,1955.8954326923076,2535.1294080822654,8.191032243899972,26
23,1553.95546875,2098.3751836178258,6.511419301363845,25
24,1289.139404296875,1803.2948424410056,5.340058465518652,24
25,1441.0737941576087,1746.5277221554602,5.709918371724452,23
26,1624.3019353693182,2099.0607703198993,6.137333698828205,22
27,1643.0857514880952,2373.6724145019602,6.006170052736438,21
28,1628.2064453125,2460.468471687036,5.895887293599128,20
29,1559.080900493421,2323.8211799629,5.654691453414314,19
30,1561.0924479166667,2188.1624891141637,5.694247277964849,18
31,1472.6017922794117,2049.1673871206035,5.353651508817768,17
32,1464.306396484375,2052.27490277783,5.288858676330724,16
33,1588.785546875,2134.030367574528,5.732340648058783,15
34,1779.5126953125,2432.3323783675414,6.357074571991481,14
35,2043.576923076923,2967.2217875784104,7.166191108501472,13
36,2293.326171875,3669.0862967350604,7.836760522562823,12
37,2660.828302556818,4083.8545711412416,9.12721030436366,11
38,2750.9666015625,3612.686256726282,9.604125903181053,10
39,2955.3938802083335,3334.1060656137815,10.449406437509966,9
40,3446.46875,3651.7577586135662,12.196377052429916,8
41,4005.4288504464284,4273.140541658347,13.99980891551657,7
42,4559.711588541667,4876.557855543772,15.70900712380103,6
43,5062.55078125,5329.841067292156,17.227136055294633,5
44,5328.009765625,5458.6291055682,17.93179528825921,4
45,5418.756510416667,5506.134287920664,17.988585637311026,3
46,5247.51953125,5265.713238647798,17.224675401190833,2
47,4914.94140625,4914.94140625,15.98666863859615,1
