Horizon,MAE,RMSE,MAPE,Samples
1,42.416015625,42.416015625,0.15003896577644146,1
2,245.640625,318.8095960067889,0.850851262435718,2
3,538.134765625,698.7332575057541,1.8395344263023732,3
4,788.91845703125,979.820935604231,2.67758386386226,4
5,1038.604296875,1264.197906644428,3.5053885955397543,5
6,1297.6878255208333,1566.0554326013882,4.341601009632457,6
7,1544.351283482143,1846.2998496269188,5.134816312146208,7
8,1740.345703125,2047.8102502552927,5.779551779173718,8
9,1900.8394097222222,2203.3080165218435,6.319847618935675,9
10,1994.32421875,2274.4717966745825,6.654849216803404,10
11,2066.690340909091,2326.1025026470043,6.919304670540423,11
12,2134.52685546875,2377.268708724402,7.155937282848929,12
13,2186.0126201923076,2412.761057755289,7.32984711192772,13
14,2216.603934151786,2427.7109221010624,7.428487965203849,14
15,2250.7545572916665,2448.9401694855346,7.526016239475197,15
16,2312.0643310546875,2505.0396065900172,7.691363293857583,16
17,2366.2751608455883,2553.6600850163936,7.829347062952434,17
18,2418.061089409722,2600.6371438572446,7.957125282760669,18
19,2467.8737664473683,2646.3432303618847,8.07850080381529,19
20,2525.35947265625,2703.2060549573166,8.22531532618352,20
21,2552.015159970238,2722.607992342718,8.292931150073276,21
22,2539.3359375,2703.796467293643,8.250234422198506,22
23,2503.683338994565,2668.556195605351,8.140955710957135,23
24,2456.336181640625,2627.237698490378,7.996902274212596,24
25,2388.89390625,2578.7624968581395,7.787571432508586,25
26,2314.3426231971152,2530.2280619803287,7.553573906268799,26
27,2238.473090277778,2483.457040239437,7.312831011548882,27
28,2184.45263671875,2442.5617471827295,7.157817166511333,28
29,2122.204067887931,2401.112148959944,6.967468589314294,29
30,2059.4319010416666,2361.157813997256,6.77105489044104,30
31,1995.224609375,2322.7955104657635,6.563008947714836,31
32,1946.609130859375,2287.533705280704,6.420990278712928,32
33,1918.3112571022727,2259.4961653030095,6.364815184260454,33
34,1880.4869025735295,2228.6598349851233,6.263602460408324,34
35,1836.1515625,2197.2938876528565,6.1291140398569635,35
36,1791.631076388889,2166.910224321295,5.990071635336905,36
37,1748.9754011824325,2137.714897389658,5.8568070399297545,37
38,1717.7002467105262,2111.358420906305,5.777313781037761,38
39,1691.1323617788462,2086.9694666100863,5.718017503490971,39
40,1667.55634765625,2064.109141763708,5.669566054948592,40
41,1639.9694169207316,2040.502603268395,5.596097346036401,41
42,1617.132300967262,2018.7996718493816,5.541100766243022,42
43,1607.3863099563953,2003.5348057447954,5.544585178505737,43
44,1608.8943980823863,1996.6445532951664,5.594575187977053,44
45,1612.5894965277778,1991.9905114510916,5.645631667878782,45
46,1608.5974439538043,1981.4525387480069,5.654774550559782,46
47,1607.9351728723404,1973.718303918731,5.6745228218374315,47
48,1598.6501871744792,1960.2420344509947,5.654326686565381,48
